IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
204.110.221.2,80,443,true,SEA,North America,Seattle,213,7.72
204.110.220.142,80,443,true,SEA,North America,Seattle,202,7.71
204.110.220.254,443,443,true,PDX,North America,Portland,203,7.71
16.171.150.197,443,443,true,ARN,Europe,Stockholm,188,7.71
204.110.221.194,80,443,true,PDX,North America,Portland,207,7.69
18.130.235.43,80,443,true,LHR,Europe,London,158,7.68
54.184.35.86,443,443,true,SEA,North America,Seattle,200,7.68
204.110.220.237,80,443,true,SEA,North America,Seattle,200,7.68
204.110.220.250,80,443,true,PDX,North America,Portland,200,7.68
204.110.221.177,80,443,true,PDX,North America,Portland,200,7.67
204.110.220.221,80,443,true,SEA,North America,Seattle,201,7.66
204.110.221.13,80,443,true,SEA,North America,Seattle,202,7.66
204.110.221.173,80,443,true,SEA,North America,Seattle,203,7.66
54.213.215.13,2053,443,true,SEA,North America,Seattle,201,7.65
204.110.221.51,80,443,true,SEA,North America,Seattle,202,7.65
204.110.220.109,80,443,true,SEA,North America,Seattle,203,7.65
204.110.220.46,80,443,true,PDX,North America,Portland,199,7.65
204.110.221.145,80,443,true,PDX,North America,Portland,212,7.65
3.23.92.120,443,443,true,ORD,North America,Chicago,215,7.64
204.110.220.57,80,443,true,PDX,North America,Portland,203,7.64
18.218.214.209,443,443,true,ORD,North America,Chicago,223,7.64
35.86.138.56,443,443,true,SEA,North America,Seattle,199,7.63
204.110.220.17,80,443,true,SEA,North America,Seattle,201,7.63
204.110.220.206,443,443,true,PDX,North America,Portland,201,7.63
204.110.220.48,80,443,true,PDX,North America,Portland,200,7.63
204.110.221.163,80,443,true,PDX,North America,Portland,211,7.63
204.110.221.136,80,443,true,PDX,North America,Portland,201,7.62
3.144.19.111,443,443,true,ORD,North America,Chicago,217,7.62
3.140.142.249,8443,443,true,CMH,North America,Columbus,219,7.61
204.110.221.137,80,443,true,PDX,North America,Portland,200,7.61
204.110.220.149,80,443,true,SEA,North America,Seattle,200,7.60
204.110.221.65,80,443,true,PDX,North America,Portland,203,7.60
204.110.220.254,80,443,true,SEA,North America,Seattle,202,7.59
34.222.176.203,443,443,true,SEA,North America,Seattle,200,7.59
204.110.221.78,80,443,true,SEA,North America,Seattle,208,7.59
204.110.220.98,80,443,true,SEA,North America,Seattle,201,7.59
18.184.170.148,2053,443,true,FRA,Europe,Frankfurt,185,7.58
3.250.120.169,2053,443,true,DUB,Europe,Dublin,169,7.58
204.110.220.246,80,443,true,PDX,North America,Portland,203,7.57
204.110.220.170,80,443,true,SEA,North America,Seattle,200,7.57
18.236.13.188,80,443,true,SEA,North America,Seattle,200,7.57
204.110.221.52,80,443,true,SEA,North America,Seattle,199,7.56
204.110.220.72,80,443,true,PDX,North America,Portland,202,7.56
204.110.221.215,80,443,true,PDX,North America,Portland,211,7.56
13.58.10.84,443,443,true,ATL,North America,Atlanta,219,7.56
34.213.125.194,2053,443,true,SEA,North America,Seattle,202,7.55
204.110.221.23,80,443,true,SEA,North America,Seattle,205,7.54
204.110.220.52,80,443,true,PDX,North America,Portland,197,7.54
204.110.221.73,80,443,true,SEA,North America,Seattle,218,7.54
204.110.220.69,80,443,true,SEA,North America,Seattle,200,7.53
204.110.220.16,80,443,true,PDX,North America,Portland,235,7.53
204.110.221.82,80,443,true,SEA,North America,Seattle,207,7.53
204.110.220.218,80,443,true,PDX,North America,Portland,198,7.53
204.110.221.238,80,443,true,SEA,North America,Seattle,198,7.53
204.110.220.34,80,443,true,PDX,North America,Portland,240,7.53
204.110.221.108,80,443,true,PDX,North America,Portland,249,7.53
13.59.206.197,443,443,true,ORD,North America,Chicago,219,7.52
204.110.220.141,80,443,true,PDX,North America,Portland,224,7.52
204.110.221.233,80,443,true,SEA,North America,Seattle,200,7.52
204.110.220.137,80,443,true,PDX,North America,Portland,213,7.51
204.110.221.118,80,443,true,PDX,North America,Portland,198,7.50
204.110.220.248,80,443,true,PDX,North America,Portland,199,7.50
204.110.220.44,80,443,true,SEA,North America,Seattle,205,7.50
67.226.222.99,80,443,true,CMH,North America,Columbus,215,7.49
67.226.222.22,80,443,true,CMH,North America,Columbus,215,7.49
204.110.221.231,80,443,true,SEA,North America,Seattle,203,7.49
204.110.223.114,80,443,true,CMH,North America,Columbus,242,7.49
204.110.221.104,80,443,true,SEA,North America,Seattle,216,7.49
204.110.220.236,80,443,true,PDX,North America,Portland,225,7.49
204.110.220.3,80,443,true,PDX,North America,Portland,221,7.49
34.222.172.236,443,443,true,SEA,North America,Seattle,200,7.48
204.110.220.217,80,443,true,PDX,North America,Portland,202,7.48
204.110.221.101,80,443,true,PDX,North America,Portland,203,7.48
204.110.220.234,80,443,true,PDX,North America,Portland,197,7.47
67.226.222.151,80,443,true,CMH,North America,Columbus,220,7.47
18.236.13.188,443,443,true,SEA,North America,Seattle,200,7.47
204.110.221.205,80,443,true,SEA,North America,Seattle,202,7.47
204.110.220.84,80,443,true,SEA,North America,Seattle,201,7.47
67.226.222.244,80,443,true,CMH,North America,Columbus,220,7.47
204.110.220.95,80,443,true,SEA,North America,Seattle,202,7.46
67.226.222.248,80,443,true,CMH,North America,Columbus,219,7.46
204.110.223.91,80,443,true,CMH,North America,Columbus,219,7.46
34.208.221.169,443,443,true,PDX,North America,Portland,202,7.46
204.110.223.154,80,443,true,CMH,North America,Columbus,220,7.45
18.118.140.19,2053,443,true,CMH,North America,Columbus,228,7.45
204.110.223.140,80,443,true,CMH,North America,Columbus,219,7.44
204.110.220.21,80,443,true,PDX,North America,Portland,208,7.42
18.188.153.231,8443,443,true,CMH,North America,Columbus,216,7.41
204.110.220.223,80,443,true,SEA,North America,Seattle,204,7.39
204.110.221.135,80,443,true,PDX,North America,Portland,211,7.39
204.110.223.126,80,443,true,CMH,North America,Columbus,225,7.39
204.110.221.33,80,443,true,PDX,North America,Portland,203,7.38
204.110.220.169,80,443,true,PDX,North America,Portland,209,7.38
18.184.170.148,443,443,true,FRA,Europe,Frankfurt,175,7.38
204.110.221.153,80,443,true,SEA,North America,Seattle,198,7.37
204.110.220.60,80,443,true,PDX,North America,Portland,202,7.37
204.110.220.211,80,443,true,PDX,North America,Portland,202,7.37
204.110.220.205,80,443,true,SEA,North America,Seattle,203,7.37
204.110.220.71,80,443,true,PDX,North America,Portland,199,7.37
204.110.221.154,80,443,true,PDX,North America,Portland,199,7.37
204.110.223.179,80,443,true,CMH,North America,Columbus,219,7.36
204.110.220.65,80,443,true,SEA,North America,Seattle,211,7.36
3.16.215.74,443,443,true,ORD,North America,Chicago,231,7.36
204.110.221.24,80,443,true,SEA,North America,Seattle,201,7.36
204.110.220.132,80,443,true,PDX,North America,Portland,200,7.35
204.110.223.4,80,443,true,CMH,North America,Columbus,219,7.35
204.110.221.224,80,443,true,PDX,North America,Portland,201,7.35
204.110.221.244,80,443,true,SEA,North America,Seattle,212,7.34
204.110.221.128,80,443,true,SEA,North America,Seattle,199,7.34
204.110.220.36,80,443,true,PDX,North America,Portland,197,7.34
204.110.220.49,80,443,true,PDX,North America,Portland,205,7.33
204.110.220.210,80,443,true,SEA,North America,Seattle,202,7.33
67.226.223.240,443,443,true,IAD,North America,Ashburn,228,7.33
204.110.220.212,80,443,true,SEA,North America,Seattle,205,7.32
35.95.178.68,443,443,true,SEA,North America,Seattle,241,7.32
204.110.221.45,80,443,true,PDX,North America,Portland,202,7.32
44.227.164.45,80,443,true,SEA,North America,Seattle,201,7.31
67.226.222.18,80,443,true,CMH,North America,Columbus,216,7.31
3.138.34.213,443,443,true,ORD,North America,Chicago,219,7.30
67.226.222.82,80,443,true,CMH,North America,Columbus,215,7.30
67.226.222.216,80,443,true,CMH,North America,Columbus,216,7.29
67.226.222.44,80,443,true,CMH,North America,Columbus,219,7.29
204.110.220.222,80,443,true,SEA,North America,Seattle,200,7.29
67.226.222.182,80,443,true,IAD,North America,Ashburn,215,7.28
204.110.221.18,80,443,true,PDX,North America,Portland,204,7.28
204.110.221.61,80,443,true,SEA,North America,Seattle,206,7.28
204.110.221.151,80,443,true,SEA,North America,Seattle,202,7.28
204.110.223.232,80,443,true,CMH,North America,Columbus,231,7.28
67.226.222.156,80,443,true,CMH,North America,Columbus,215,7.27
204.110.220.12,443,443,true,SEA,North America,Seattle,200,7.27
67.226.222.37,80,443,true,CMH,North America,Columbus,232,7.27
67.226.222.74,80,443,true,CMH,North America,Columbus,215,7.26
204.110.221.209,80,443,true,SEA,North America,Seattle,200,7.26
204.110.220.50,80,443,true,SEA,North America,Seattle,198,7.25
18.224.177.250,443,443,true,CMH,North America,Columbus,227,7.24
204.110.220.42,80,443,true,SEA,North America,Seattle,203,7.24
67.226.222.86,80,443,true,CMH,North America,Columbus,219,7.24
67.226.222.107,80,443,true,IAD,North America,Ashburn,232,7.24
13.58.1.115,2053,443,true,CMH,North America,Columbus,215,7.24
204.110.220.120,80,443,true,PDX,North America,Portland,212,7.24
3.67.232.136,443,443,true,FRA,Europe,Frankfurt,183,7.23
67.226.222.73,80,443,true,CMH,North America,Columbus,219,7.22
204.110.220.200,80,443,true,SEA,North America,Seattle,199,7.22
3.145.202.146,443,443,true,ORD,North America,Chicago,215,7.21
67.226.222.232,80,443,true,IAD,North America,Ashburn,220,7.21
67.226.223.240,80,443,true,CMH,North America,Columbus,219,7.20
67.226.222.131,80,443,true,CMH,North America,Columbus,216,7.20
67.226.222.97,80,443,true,CMH,North America,Columbus,215,7.20
204.110.221.1,80,443,true,PDX,North America,Portland,204,7.19
204.110.221.110,80,443,true,PDX,North America,Portland,200,7.19
204.110.220.167,80,443,true,PDX,North America,Portland,209,7.19
34.212.30.255,443,443,true,SEA,North America,Seattle,204,7.19
204.110.220.183,80,443,true,PDX,North America,Portland,206,7.18
204.110.220.9,80,443,true,PDX,North America,Portland,201,7.18
3.98.54.22,2053,443,true,YUL,North America,Montréal,244,7.18
67.226.222.173,80,443,true,CMH,North America,Columbus,215,7.17
3.22.241.99,443,443,true,CMH,North America,Columbus,219,7.17
3.15.186.182,443,443,true,ORD,North America,Chicago,219,7.17
204.110.221.84,80,443,true,SEA,North America,Seattle,231,7.17
204.110.221.54,80,443,true,PDX,North America,Portland,200,7.16
67.226.222.2,443,443,true,CMH,North America,Columbus,219,7.15
204.110.220.88,80,443,true,SEA,North America,Seattle,199,7.15
67.226.222.176,80,443,true,CMH,North America,Columbus,217,7.14
204.110.221.253,80,443,true,PDX,North America,Portland,206,7.14
204.110.223.159,80,443,true,CMH,North America,Columbus,230,7.14
204.110.220.63,80,443,true,SEA,North America,Seattle,214,7.14
67.226.222.136,80,443,true,IAD,North America,Ashburn,215,7.14
35.89.139.210,443,443,true,SEA,North America,Seattle,202,7.14
204.110.221.30,80,443,true,PDX,North America,Portland,199,7.14
204.110.221.57,80,443,true,PDX,North America,Portland,216,7.13
34.220.233.147,443,443,true,SEA,North America,Seattle,199,7.13
67.226.222.118,80,443,true,CMH,North America,Columbus,228,7.13
204.110.220.207,80,443,true,SEA,North America,Seattle,199,7.13
204.110.221.157,80,443,true,SEA,North America,Seattle,197,7.13
34.220.186.178,443,443,true,SEA,North America,Seattle,225,7.13
204.110.220.83,80,443,true,SEA,North America,Seattle,219,7.13
3.250.120.169,8443,443,true,DUB,Europe,Dublin,178,7.12
204.110.220.201,80,443,true,PDX,North America,Portland,199,7.12
15.223.1.84,8443,443,true,YUL,North America,Montréal,240,7.12
204.110.223.93,80,443,true,CMH,North America,Columbus,216,7.12
99.79.195.21,2083,443,true,YUL,North America,Montréal,240,7.11
67.226.222.189,80,443,true,IAD,North America,Ashburn,219,7.11
204.110.221.218,80,443,true,PDX,North America,Portland,200,7.10
3.18.101.222,443,443,true,ORD,North America,Chicago,220,7.10
204.110.223.69,80,443,true,CMH,North America,Columbus,215,7.10
3.137.212.227,443,443,true,ORD,North America,Chicago,218,7.09
204.110.220.166,80,443,true,SEA,North America,Seattle,199,7.09
52.89.87.213,443,443,true,SEA,North America,Seattle,221,7.08
204.110.221.7,80,443,true,SEA,North America,Seattle,228,7.08
204.110.221.100,80,443,true,SEA,North America,Seattle,205,7.07
204.110.221.228,80,443,true,PDX,North America,Portland,199,7.07
3.145.8.241,443,443,true,ORD,North America,Chicago,228,7.05
18.192.214.17,443,443,true,FRA,Europe,Frankfurt,177,7.05
204.110.221.250,80,443,true,PDX,North America,Portland,204,7.05
204.110.220.28,80,443,true,SEA,North America,Seattle,211,7.05
