IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.93.189.165,2086,80,false,ORD,North America,Chicago,202,0.00
34.218.233.177,80,80,false,ORD,North America,Chicago,219,0.00
52.11.221.197,8880,80,false,ORD,North America,Chicago,200,0.00
35.95.36.1,2053,80,false,ORD,North America,Chicago,215,0.00
34.218.233.177,8880,80,false,ORD,North America,Chicago,218,0.00
34.218.233.177,2086,80,false,ORD,North America,Chicago,200,0.00
35.91.193.27,8880,80,false,ORD,North America,Chicago,202,0.00
54.203.7.73,8080,80,false,ORD,North America,Chicago,206,0.00
35.91.233.1,2083,80,false,ORD,North America,Chicago,203,0.00
35.91.193.27,443,80,false,ORD,North America,Chicago,202,0.00
35.91.233.1,8080,80,false,ORD,North America,Chicago,205,0.00
54.202.30.249,8880,80,false,ORD,North America,Chicago,204,0.00
52.39.169.151,2096,80,false,ORD,North America,Chicago,199,0.00
52.39.169.151,2083,80,false,ORD,North America,Chicago,199,0.00
54.202.30.249,2096,80,false,ORD,North America,Chicago,227,0.00
52.11.221.197,2095,80,false,ORD,North America,Chicago,201,0.00
52.11.221.197,2052,80,false,ORD,North America,Chicago,199,0.00
35.167.225.145,2095,80,false,ORD,North America,Chicago,198,0.00
52.39.201.69,2083,80,false,ORD,North America,Chicago,197,0.00
52.39.169.151,8443,80,false,ORD,North America,Chicago,199,0.00
52.39.169.151,2087,80,false,ORD,North America,Chicago,201,0.00
34.218.233.177,2083,80,false,ORD,North America,Chicago,214,0.00
35.167.225.145,2086,80,false,ORD,North America,Chicago,198,0.00
34.218.233.177,2052,80,false,ORD,North America,Chicago,202,0.00
34.218.233.177,2096,80,false,ORD,North America,Chicago,218,0.00
52.39.169.151,2095,80,false,ORD,North America,Chicago,203,0.00
52.39.169.151,2053,80,false,ORD,North America,Chicago,201,0.00
52.39.169.151,2086,80,false,ORD,North America,Chicago,201,0.00
52.39.169.151,8080,80,false,ORD,North America,Chicago,202,0.00
52.39.169.151,80,80,false,ORD,North America,Chicago,200,0.00
52.39.169.151,8880,80,false,ORD,North America,Chicago,199,0.00
54.202.30.249,2053,80,false,ORD,North America,Chicago,224,0.00
35.88.241.242,8080,80,false,ORD,North America,Chicago,198,0.00
52.39.201.69,80,80,false,ORD,North America,Chicago,197,0.00
54.202.30.249,2095,80,false,ORD,North America,Chicago,206,0.00
52.39.201.69,8080,80,false,ORD,North America,Chicago,201,0.00
52.39.201.69,8443,80,false,ORD,North America,Chicago,201,0.00
52.39.201.69,2096,80,false,ORD,North America,Chicago,199,0.00
52.39.201.69,2087,80,false,ORD,North America,Chicago,199,0.00
54.202.30.249,2086,80,false,ORD,North America,Chicago,225,0.00
34.218.233.177,8443,80,false,ORD,North America,Chicago,213,0.00
34.218.233.177,2095,80,false,ORD,North America,Chicago,215,0.00
52.11.221.197,443,80,false,ORD,North America,Chicago,197,0.00
52.11.221.197,2096,80,false,ORD,North America,Chicago,201,0.00
52.39.201.69,8880,80,false,ORD,North America,Chicago,200,0.00
34.218.233.177,2053,80,false,ORD,North America,Chicago,204,0.00
54.189.163.18,2052,80,false,ORD,North America,Chicago,201,0.00
52.42.127.37,8880,80,false,ORD,North America,Chicago,199,0.00
52.11.221.197,8080,80,false,ORD,North America,Chicago,201,0.00
52.11.221.197,2086,80,false,ORD,North America,Chicago,199,0.00
52.42.127.37,2096,80,false,ORD,North America,Chicago,202,0.00
52.11.221.197,2087,80,false,ORD,North America,Chicago,197,0.00
34.218.233.177,2087,80,false,ORD,North America,Chicago,219,0.00
52.42.127.37,8443,80,false,ORD,North America,Chicago,201,0.00
52.11.221.197,8443,80,false,ORD,North America,Chicago,197,0.00
52.11.221.197,2082,80,false,ORD,North America,Chicago,198,0.00
34.218.233.177,443,80,false,ORD,North America,Chicago,201,0.00
52.42.127.37,8080,80,false,ORD,North America,Chicago,202,0.00
52.42.127.37,2083,80,false,ORD,North America,Chicago,202,0.00
52.42.127.37,2082,80,false,ORD,North America,Chicago,200,0.00
52.39.201.69,2053,80,false,ORD,North America,Chicago,199,0.00
52.42.127.37,443,80,false,ORD,North America,Chicago,202,0.00
52.39.201.69,2082,80,false,ORD,North America,Chicago,197,0.00
52.42.127.37,2053,80,false,ORD,North America,Chicago,199,0.00
54.189.163.18,2086,80,false,ORD,North America,Chicago,199,0.00
52.42.127.37,2086,80,false,ORD,North America,Chicago,202,0.00
52.42.127.37,2052,80,false,ORD,North America,Chicago,201,0.00
52.39.201.69,2086,80,false,ORD,North America,Chicago,199,0.00
35.88.241.242,2086,80,false,ORD,North America,Chicago,202,0.00
35.95.36.1,8443,80,false,ORD,North America,Chicago,206,0.00
35.95.36.1,2086,80,false,ORD,North America,Chicago,203,0.00
