IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.114.19,443,443,true,FRA,Europe,Frankfurt,186,9.82
141.147.51.46,443,443,true,FRA,Europe,Frankfurt,167,9.81
140.238.95.86,443,443,true,FRA,Europe,Frankfurt,195,9.79
138.2.162.214,443,443,true,FRA,Europe,Frankfurt,184,9.75
141.144.206.158,443,443,true,FRA,Europe,Frankfurt,179,9.74
141.147.101.39,443,443,true,FRA,Europe,Frankfurt,173,9.73
141.148.226.100,443,443,true,FRA,Europe,Frankfurt,175,9.72
141.148.228.248,443,443,true,FRA,Europe,Frankfurt,179,9.71
79.72.78.226,443,443,true,FRA,Europe,Frankfurt,184,9.69
130.61.133.76,443,443,true,FRA,Europe,Frankfurt,165,9.67
138.2.162.97,443,443,true,FRA,Europe,Frankfurt,167,9.65
143.47.226.63,443,443,true,FRA,Europe,Frankfurt,164,9.64
158.178.157.4,443,443,true,FRA,Europe,Frankfurt,172,9.63
143.47.239.219,443,443,true,FRA,Europe,Frankfurt,179,9.62
141.147.95.194,443,443,true,FRA,Europe,Frankfurt,180,9.61
89.168.98.116,443,443,true,FRA,Europe,Frankfurt,182,9.60
138.2.159.229,443,443,true,FRA,Europe,Frankfurt,184,9.59
150.230.121.149,443,443,true,AMS,Europe,Amsterdam,173,9.59
152.67.136.218,443,443,true,FRA,Europe,Frankfurt,175,9.58
84.235.166.150,443,443,true,FRA,Europe,Frankfurt,182,9.57
84.235.174.59,443,443,true,FRA,Europe,Frankfurt,191,9.56
143.47.186.167,443,443,true,FRA,Europe,Frankfurt,177,9.56
79.72.84.210,443,443,true,FRA,Europe,Frankfurt,182,9.55
131.186.22.123,443,443,true,ICN,Asia Pacific,Seoul,112,9.55
141.147.89.251,443,443,true,FRA,Europe,Frankfurt,195,9.55
84.8.156.231,443,443,true,FRA,Europe,Frankfurt,174,9.50
84.8.154.53,443,443,true,FRA,Europe,Frankfurt,181,9.50
158.178.156.204,443,443,true,FRA,Europe,Frankfurt,175,9.49
