IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.93.189.165,80,80,false,ORD,North America,Chicago,199,0.00
52.11.221.197,8443,80,false,ORD,North America,Chicago,202,0.00
52.11.221.197,8080,80,false,ORD,North America,Chicago,201,0.00
35.95.36.1,2095,80,false,ORD,North America,Chicago,201,0.00
34.218.233.177,2052,80,false,ORD,North America,Chicago,214,0.00
35.91.193.27,2082,80,false,ORD,North America,Chicago,201,0.00
13.233.28.21,2082,80,false,ORD,North America,Chicago,56,0.00
35.93.189.165,8080,80,false,ORD,North America,Chicago,199,0.00
35.91.193.27,443,80,false,ORD,North America,Chicago,199,0.00
52.11.221.197,2086,80,false,ORD,North America,Chicago,202,0.00
35.93.189.165,2086,80,false,ORD,North America,Chicago,199,0.00
52.11.221.197,2096,80,false,ORD,North America,Chicago,199,0.00
35.93.189.165,2052,80,false,ORD,North America,Chicago,199,0.00
35.91.233.1,2052,80,false,ORD,North America,Chicago,200,0.00
34.218.233.177,443,80,false,ORD,North America,Chicago,214,0.00
52.11.221.197,8880,80,false,ORD,North America,Chicago,199,0.00
34.218.233.177,80,80,false,ORD,North America,Chicago,212,0.00
35.91.193.27,2052,80,false,ORD,North America,Chicago,201,0.00
34.218.233.177,2096,80,false,ORD,North America,Chicago,214,0.00
35.91.233.1,8880,80,false,ORD,North America,Chicago,202,0.00
35.91.233.1,2096,80,false,ORD,North America,Chicago,200,0.00
35.91.193.27,2095,80,false,ORD,North America,Chicago,199,0.00
34.215.90.63,8443,80,false,ORD,North America,Chicago,212,0.00
34.215.90.63,2087,80,false,ORD,North America,Chicago,201,0.00
34.215.90.63,80,80,false,ORD,North America,Chicago,210,0.00
34.215.90.63,2082,80,false,ORD,North America,Chicago,210,0.00
34.215.90.63,2086,80,false,ORD,North America,Chicago,212,0.00
34.215.90.63,2053,80,false,ORD,North America,Chicago,209,0.00
52.25.64.223,80,80,false,ORD,North America,Chicago,202,0.00
34.218.233.177,2086,80,false,ORD,North America,Chicago,215,0.00
34.215.90.63,443,80,false,ORD,North America,Chicago,213,0.00
35.91.233.1,2053,80,false,ORD,North America,Chicago,199,0.00
13.233.28.21,443,80,false,ORD,North America,Chicago,58,0.00
34.218.233.177,8080,80,false,ORD,North America,Chicago,214,0.00
52.11.221.197,443,80,false,ORD,North America,Chicago,201,0.00
35.91.233.1,443,80,false,ORD,North America,Chicago,202,0.00
52.11.221.197,80,80,false,ORD,North America,Chicago,200,0.00
34.218.233.177,8443,80,false,ORD,North America,Chicago,220,0.00
54.189.163.18,443,80,false,ORD,North America,Chicago,199,0.00
52.11.221.197,2083,80,false,ORD,North America,Chicago,199,0.00
54.189.163.18,2083,80,false,ORD,North America,Chicago,197,0.00
52.11.221.197,2082,80,false,ORD,North America,Chicago,201,0.00
