IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
52.42.127.37,2087,80,false,ORD,North America,Chicago,199,0.00
52.42.127.37,80,80,false,ORD,North America,Chicago,200,0.00
52.42.127.37,2096,80,false,ORD,North America,Chicago,198,0.00
18.171.218.72,2053,80,false,ORD,North America,Chicago,172,0.00
52.39.201.69,2052,80,false,ORD,North America,Chicago,200,0.00
52.39.201.69,2095,80,false,ORD,North America,Chicago,203,0.00
18.171.218.72,2082,80,false,ORD,North America,Chicago,152,0.00
52.39.201.69,8880,80,false,ORD,North America,Chicago,197,0.00
52.39.201.69,2083,80,false,ORD,North America,Chicago,199,0.00
18.171.218.72,2086,80,false,ORD,North America,Chicago,170,0.00
18.171.218.72,443,80,false,ORD,North America,Chicago,152,0.00
35.95.36.1,2053,80,false,ORD,North America,Chicago,214,0.00
52.39.169.151,2086,80,false,ORD,North America,Chicago,200,0.00
52.39.169.151,2082,80,false,ORD,North America,Chicago,197,0.00
52.42.127.37,2052,80,false,ORD,North America,Chicago,200,0.00
52.42.127.37,8080,80,false,ORD,North America,Chicago,200,0.00
52.39.169.151,2052,80,false,ORD,North America,Chicago,199,0.00
52.39.169.151,8880,80,false,ORD,North America,Chicago,201,0.00
52.39.169.151,2096,80,false,ORD,North America,Chicago,199,0.00
52.39.169.151,2095,80,false,ORD,North America,Chicago,199,0.00
52.39.169.151,8443,80,false,ORD,North America,Chicago,199,0.00
52.39.169.151,8080,80,false,ORD,North America,Chicago,201,0.00
52.42.127.37,2086,80,false,ORD,North America,Chicago,201,0.00
54.245.58.106,443,80,false,ORD,North America,Chicago,202,0.00
54.245.58.106,8880,80,false,ORD,North America,Chicago,204,0.00
52.39.201.69,8443,80,false,ORD,North America,Chicago,197,0.00
52.39.201.69,80,80,false,ORD,North America,Chicago,197,0.00
54.245.58.106,2082,80,false,ORD,North America,Chicago,202,0.00
54.245.58.106,2086,80,false,ORD,North America,Chicago,205,0.00
54.245.58.106,2052,80,false,ORD,North America,Chicago,204,0.00
54.245.58.106,80,80,false,ORD,North America,Chicago,205,0.00
54.245.58.106,8443,80,false,ORD,North America,Chicago,199,0.00
52.39.201.69,2082,80,false,ORD,North America,Chicago,199,0.00
34.210.73.42,443,80,false,ORD,North America,Chicago,202,0.00
52.39.201.69,443,80,false,ORD,North America,Chicago,202,0.00
54.189.163.18,443,80,false,ORD,North America,Chicago,200,0.00
54.189.163.18,80,80,false,ORD,North America,Chicago,201,0.00
52.39.201.69,2086,80,false,ORD,North America,Chicago,202,0.00
52.39.201.69,8080,80,false,ORD,North America,Chicago,197,0.00
52.42.127.37,8443,80,false,ORD,North America,Chicago,199,0.00
35.95.36.1,2082,80,false,ORD,North America,Chicago,202,0.00
35.95.36.1,2083,80,false,ORD,North America,Chicago,202,0.00
52.42.127.37,2095,80,false,ORD,North America,Chicago,200,0.00
52.42.127.37,2082,80,false,ORD,North America,Chicago,197,0.00
52.42.127.37,2083,80,false,ORD,North America,Chicago,199,0.00
35.95.36.1,2095,80,false,ORD,North America,Chicago,199,0.00
52.42.127.37,443,80,false,ORD,North America,Chicago,200,0.00
35.95.36.1,443,80,false,ORD,North America,Chicago,200,0.00
