IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.180.49.12,443,443,true,FRA,Europe,Frankfurt,238,5.93
150.230.22.39,443,443,true,FRA,Europe,Frankfurt,256,5.92
193.122.2.248,443,443,true,FRA,Europe,Frankfurt,169,5.91
130.61.170.78,443,443,true,FRA,Europe,Frankfurt,166,5.90
144.21.42.69,443,443,true,FRA,Europe,Frankfurt,177,5.87
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,66,5.87
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,76,5.84
158.178.146.205,443,443,true,FRA,Europe,Frankfurt,227,5.83
129.146.220.190,443,443,true,LAX,North America,Los Angeles,185,5.82
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,74,5.76
168.138.201.0,443,443,true,NRT,Asia Pacific,Tokyo,67,5.72
141.147.10.201,443,443,true,FRA,Europe,Frankfurt,224,5.70
152.70.164.233,443,443,true,FRA,Europe,Frankfurt,241,5.69
84.235.165.75,443,443,true,FRA,Europe,Frankfurt,260,5.68
141.148.236.154,443,443,true,FRA,Europe,Frankfurt,193,5.67
158.180.43.22,443,443,true,FRA,Europe,Frankfurt,214,5.66
141.147.58.3,443,443,true,FRA,Europe,Frankfurt,247,5.65
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,84,5.64
141.147.37.157,443,443,true,FRA,Europe,Frankfurt,234,5.62
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,98,5.59
89.168.113.143,443,443,true,FRA,Europe,Frankfurt,167,5.57
150.230.112.154,443,443,true,FRA,Europe,Frankfurt,241,5.57
141.147.178.154,443,443,true,NRT,Asia Pacific,Tokyo,80,5.57
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,177,5.56
140.238.195.98,443,443,true,SYD,Oceania,Sydney,94,5.55
64.110.101.31,443,443,true,KIX,Asia Pacific,Osaka,76,5.55
192.9.180.162,443,443,true,SYD,Oceania,Sydney,93,5.54
158.180.61.219,443,443,true,FRA,Europe,Frankfurt,251,5.54
89.168.115.24,443,443,true,FRA,Europe,Frankfurt,252,5.54
141.147.24.29,443,443,true,FRA,Europe,Frankfurt,215,5.53
84.8.157.95,443,443,true,FRA,Europe,Frankfurt,247,5.50
143.47.237.161,443,443,true,FRA,Europe,Frankfurt,260,5.47
