IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.147.230,2083,2083,true,HKG,Asia Pacific,Hong Kong,52,1.24
47.250.159.165,80,443,true,SIN,Asia Pacific,Singapore,50,1.16
8.209.217.106,443,443,true,HKG,Asia Pacific,Hong Kong,86,1.16
8.211.54.130,443,443,true,FRA,Europe,Frankfurt,171,1.14
47.76.62.62,8443,443,true,HKG,Asia Pacific,Hong Kong,51,1.08
47.236.181.185,8443,443,true,SIN,Asia Pacific,Singapore,54,0.67
8.218.63.172,443,443,true,HKG,Asia Pacific,Hong Kong,71,0.66
8.218.63.172,443,443,true,HKG,Asia Pacific,Hong Kong,64,0.34
8.218.148.106,443,443,true,HKG,Asia Pacific,Hong Kong,41,0.34
47.57.233.126,443,443,true,SJC,North America,San Jose,51,0.28
47.57.233.126,443,443,true,SJC,North America,San Jose,41,0.25
47.90.141.204,443,443,true,LAX,North America,Los Angeles,326,0.20
8.218.148.106,443,443,true,HKG,Asia Pacific,Hong Kong,83,0.18
47.89.244.253,443,443,true,SJC,North America,San Jose,170,0.04
47.89.244.253,443,443,true,SJC,North America,San Jose,174,0.04
47.57.14.118,443,443,true,SJC,North America,San Jose,62,0.02
47.57.14.118,443,443,true,SJC,North America,San Jose,87,0.02
47.57.13.107,443,443,true,HKG,Asia Pacific,Hong Kong,46,0.01
47.74.155.26,80,80,false,SIN,Asia Pacific,Singapore,4,0.00
8.219.77.141,80,80,false,SJC,North America,San Jose,9,0.00
47.74.155.26,80,80,false,SIN,Asia Pacific,Singapore,9,0.00
147.139.172.176,443,80,false,CGK,Asia Pacific,Jakarta,20,0.00
8.219.68.162,443,443,true,SIN,Asia Pacific,Singapore,23,0.00
147.139.172.176,443,80,false,CGK,Asia Pacific,Jakarta,27,0.00
8.212.41.98,80,80,false,SIN,Asia Pacific,Singapore,31,0.00
8.218.3.12,2052,2052,false,HKG,Asia Pacific,Hong Kong,33,0.00
8.218.3.12,8080,8080,false,HKG,Asia Pacific,Hong Kong,33,0.00
47.57.13.107,80,80,false,HKG,Asia Pacific,Hong Kong,34,0.00
8.218.143.10,8880,8880,false,HKG,Asia Pacific,Hong Kong,35,0.00
8.210.55.134,80,80,false,HKG,Asia Pacific,Hong Kong,36,0.00
47.242.155.183,2082,2082,false,HKG,Asia Pacific,Hong Kong,36,0.00
47.242.174.27,2052,2052,false,HKG,Asia Pacific,Hong Kong,36,0.00
8.218.143.10,80,80,false,HKG,Asia Pacific,Hong Kong,36,0.00
8.210.55.134,2086,2086,false,HKG,Asia Pacific,Hong Kong,36,0.00
8.218.3.12,80,80,false,HKG,Asia Pacific,Hong Kong,37,0.00
8.218.143.10,2095,2095,false,HKG,Asia Pacific,Hong Kong,37,0.00
8.217.147.230,2052,2052,false,HKG,Asia Pacific,Hong Kong,37,0.00
8.217.147.230,8880,8880,false,HKG,Asia Pacific,Hong Kong,37,0.00
8.218.143.10,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,0.00
8.217.147.230,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,0.00
47.242.174.27,2095,2095,false,HKG,Asia Pacific,Hong Kong,37,0.00
8.223.2.222,80,80,false,SIN,Asia Pacific,Singapore,38,0.00
8.212.41.98,8080,8080,false,SJC,North America,San Jose,38,0.00
8.218.142.253,8080,8080,false,HKG,Asia Pacific,Hong Kong,38,0.00
8.218.181.189,2086,2086,false,HKG,Asia Pacific,Hong Kong,38,0.00
8.218.143.10,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,0.00
8.218.3.12,80,80,false,HKG,Asia Pacific,Hong Kong,39,0.00
8.217.147.230,8080,8080,false,HKG,Asia Pacific,Hong Kong,39,0.00
8.218.142.253,2086,2086,false,HKG,Asia Pacific,Hong Kong,39,0.00
8.212.12.98,80,80,false,HKG,Asia Pacific,Hong Kong,39,0.00
47.242.155.183,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,0.00
8.218.3.12,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,0.00
8.218.3.12,2082,2082,false,HKG,Asia Pacific,Hong Kong,39,0.00
8.218.181.189,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,0.00
8.218.136.25,8880,8880,false,HKG,Asia Pacific,Hong Kong,39,0.00
8.218.136.25,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,0.00
47.242.174.27,80,80,false,HKG,Asia Pacific,Hong Kong,39,0.00
47.242.174.27,2086,2086,false,HKG,Asia Pacific,Hong Kong,40,0.00
8.210.55.134,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,0.00
8.218.3.12,2086,2086,false,HKG,Asia Pacific,Hong Kong,40,0.00
8.210.55.134,8880,8880,false,HKG,Asia Pacific,Hong Kong,40,0.00
8.218.181.189,2086,2086,false,HKG,Asia Pacific,Hong Kong,40,0.00
8.218.143.10,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,0.00
8.217.147.230,8880,8880,false,HKG,Asia Pacific,Hong Kong,41,0.00
47.243.86.79,8080,8080,false,HKG,Asia Pacific,Hong Kong,41,0.00
47.243.86.79,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,0.00
8.210.55.134,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,0.00
8.212.41.98,8080,8080,false,SJC,North America,San Jose,41,0.00
47.242.155.183,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,0.00
8.210.55.134,2082,2082,false,HKG,Asia Pacific,Hong Kong,41,0.00
8.218.143.10,80,80,false,HKG,Asia Pacific,Hong Kong,42,0.00
8.218.3.12,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,0.00
8.210.55.134,2052,2052,false,HKG,Asia Pacific,Hong Kong,42,0.00
8.218.136.25,80,80,false,HKG,Asia Pacific,Hong Kong,42,0.00
