IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
143.47.242.99,443,443,true,FRA,Europe,Frankfurt,174,9.20
132.145.8.50,443,443,true,FRA,Europe,Frankfurt,188,9.18
130.61.181.61,8443,443,true,FRA,Europe,Frankfurt,167,9.18
158.101.201.136,443,443,true,FRA,Europe,Frankfurt,195,9.18
158.178.158.114,443,443,true,FRA,Europe,Frankfurt,178,9.16
129.146.137.89,2096,443,true,LAX,North America,Los Angeles,180,9.16
79.72.75.193,443,443,true,FRA,Europe,Frankfurt,173,9.16
158.101.216.253,443,443,true,FRA,Europe,Frankfurt,187,9.13
158.101.208.211,443,443,true,FRA,Europe,Frankfurt,178,9.11
158.101.218.49,443,443,true,FRA,Europe,Frankfurt,181,9.01
144.24.162.60,443,443,true,FRA,Europe,Frankfurt,235,8.94
158.180.49.12,443,443,true,FRA,Europe,Frankfurt,160,8.93
193.123.34.230,443,443,true,FRA,Europe,Frankfurt,187,8.89
130.162.39.121,443,443,true,FRA,Europe,Frankfurt,167,8.87
144.21.62.152,443,443,true,FRA,Europe,Frankfurt,183,8.79
89.168.124.103,443,443,true,FRA,Europe,Frankfurt,160,8.78
158.101.209.22,443,443,true,FRA,Europe,Frankfurt,197,8.76
130.162.178.170,443,443,true,FRA,Europe,Frankfurt,181,8.75
141.144.199.16,443,443,true,FRA,Europe,Frankfurt,180,8.73
140.238.12.52,8443,443,true,NRT,Asia Pacific,Tokyo,140,8.72
130.162.183.99,443,443,true,FRA,Europe,Frankfurt,182,8.70
144.21.63.235,443,443,true,FRA,Europe,Frankfurt,182,8.70
140.238.28.86,443,443,true,SJC,North America,San Jose,118,8.65
158.178.153.80,2096,443,true,AMS,Europe,Amsterdam,162,8.60
193.123.62.175,443,443,true,FRA,Europe,Frankfurt,169,8.60
89.168.112.118,2053,443,true,FRA,Europe,Frankfurt,171,8.59
158.101.203.106,443,443,true,FRA,Europe,Frankfurt,194,8.34
84.235.164.155,443,443,true,FRA,Europe,Frankfurt,183,8.26
129.146.240.62,443,443,true,LAX,North America,Los Angeles,226,8.20
143.47.243.144,2053,443,true,LHR,Europe,London,167,8.19
143.47.180.188,443,443,true,FRA,Europe,Frankfurt,165,8.19
158.101.208.232,443,443,true,FRA,Europe,Frankfurt,177,8.08
152.70.161.87,443,443,true,FRA,Europe,Frankfurt,240,8.02
143.47.240.111,443,443,true,FRA,Europe,Frankfurt,177,8.01
158.101.220.100,443,443,true,FRA,Europe,Frankfurt,181,7.96
152.70.123.225,8443,443,true,SJC,North America,San Jose,198,7.90
164.152.17.14,443,443,true,ORD,North America,Chicago,207,7.84
132.145.54.84,2053,443,true,LHR,Europe,London,174,7.79
164.152.26.70,2086,443,true,ORD,North America,Chicago,208,7.73
