IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.180.27.214,443,443,true,FRA,Europe,Frankfurt,165,7.38
79.72.89.159,443,443,true,FRA,Europe,Frankfurt,192,7.38
141.148.243.188,443,443,true,FRA,Europe,Frankfurt,183,7.36
143.47.242.202,443,443,true,FRA,Europe,Frankfurt,179,7.36
138.2.138.100,443,443,true,FRA,Europe,Frankfurt,176,7.35
89.168.98.34,443,443,true,FRA,Europe,Frankfurt,161,7.35
130.162.164.77,443,443,true,FRA,Europe,Frankfurt,182,7.34
79.72.70.215,443,443,true,FRA,Europe,Frankfurt,179,7.33
89.168.108.217,443,443,true,FRA,Europe,Frankfurt,169,7.33
130.162.209.113,443,443,true,FRA,Europe,Frankfurt,160,7.33
130.162.185.229,443,443,true,FRA,Europe,Frankfurt,177,7.32
140.238.127.240,443,443,true,FRA,Europe,Frankfurt,183,7.32
130.162.34.28,443,443,true,FRA,Europe,Frankfurt,184,7.31
158.180.15.73,443,443,true,FRA,Europe,Frankfurt,167,7.31
143.47.250.34,443,443,true,FRA,Europe,Frankfurt,166,7.30
143.47.190.11,443,443,true,FRA,Europe,Frankfurt,174,7.29
158.180.21.238,443,443,true,FRA,Europe,Frankfurt,180,7.25
89.168.122.44,443,443,true,FRA,Europe,Frankfurt,160,7.25
143.47.189.47,443,443,true,FRA,Europe,Frankfurt,179,7.22
79.72.83.232,443,443,true,FRA,Europe,Frankfurt,197,7.22
158.101.203.106,443,443,true,FRA,Europe,Frankfurt,187,7.21
141.147.85.136,443,443,true,FRA,Europe,Frankfurt,166,7.19
158.180.18.118,443,443,true,FRA,Europe,Frankfurt,170,7.19
130.162.57.129,443,443,true,FRA,Europe,Frankfurt,168,7.17
141.147.89.162,443,443,true,FRA,Europe,Frankfurt,174,7.16
141.147.7.222,443,443,true,FRA,Europe,Frankfurt,178,7.15
152.70.50.183,443,443,true,FRA,Europe,Frankfurt,171,7.13
130.162.172.12,443,443,true,FRA,Europe,Frankfurt,186,7.12
141.148.245.29,443,443,true,FRA,Europe,Frankfurt,191,7.12
141.148.227.119,443,443,true,FRA,Europe,Frankfurt,181,7.11
138.2.164.40,443,443,true,FRA,Europe,Frankfurt,178,7.10
138.2.180.110,443,443,true,FRA,Europe,Frankfurt,193,7.07
129.159.242.180,443,443,true,FRA,Europe,Frankfurt,172,7.06
141.144.198.182,443,443,true,FRA,Europe,Frankfurt,178,7.06
141.148.237.170,443,443,true,FRA,Europe,Frankfurt,172,7.06
144.21.62.152,443,443,true,FRA,Europe,Frankfurt,184,7.05
164.152.26.70,2086,443,true,ORD,North America,Chicago,202,7.04
130.162.189.89,443,443,true,FRA,Europe,Frankfurt,173,7.04
141.144.206.214,443,443,true,FRA,Europe,Frankfurt,169,7.04
141.147.113.128,443,443,true,FRA,Europe,Frankfurt,164,7.03
138.3.254.58,443,443,true,FRA,Europe,Frankfurt,170,7.01
143.47.229.71,443,443,true,FRA,Europe,Frankfurt,184,7.01
130.162.243.202,443,443,true,FRA,Europe,Frankfurt,160,7.01
152.67.131.66,443,443,true,FRA,Europe,Frankfurt,199,7.00
132.145.8.50,443,443,true,FRA,Europe,Frankfurt,173,7.00
144.24.168.214,443,443,true,FRA,Europe,Frankfurt,184,7.00
141.144.199.16,443,443,true,FRA,Europe,Frankfurt,191,6.99
141.147.40.222,443,443,true,FRA,Europe,Frankfurt,154,6.99
193.122.197.111,443,443,true,IAD,North America,Ashburn,237,6.97
144.21.63.246,443,443,true,FRA,Europe,Frankfurt,182,6.93
141.144.233.168,443,443,true,FRA,Europe,Frankfurt,169,6.91
40.233.70.7,8443,443,true,YYZ,North America,Toronto,230,6.91
84.235.174.169,443,443,true,FRA,Europe,Frankfurt,176,6.88
129.159.197.194,443,443,true,FRA,Europe,Frankfurt,167,6.87
193.123.58.165,443,443,true,FRA,Europe,Frankfurt,185,6.86
84.8.158.182,443,443,true,FRA,Europe,Frankfurt,201,6.84
152.70.51.67,443,443,true,FRA,Europe,Frankfurt,176,6.83
141.147.72.126,443,443,true,FRA,Europe,Frankfurt,191,6.82
141.147.10.201,443,443,true,FRA,Europe,Frankfurt,168,6.82
143.47.187.101,443,443,true,FRA,Europe,Frankfurt,179,6.80
141.147.58.3,443,443,true,FRA,Europe,Frankfurt,194,6.76
129.146.248.140,443,443,true,LAX,North America,Los Angeles,187,6.76
84.8.152.30,443,443,true,FRA,Europe,Frankfurt,196,6.76
158.101.220.243,443,443,true,FRA,Europe,Frankfurt,175,6.76
79.72.90.51,443,443,true,FRA,Europe,Frankfurt,183,6.75
138.2.152.81,443,443,true,FRA,Europe,Frankfurt,198,6.70
138.2.137.207,443,443,true,FRA,Europe,Frankfurt,189,6.70
152.70.164.233,443,443,true,FRA,Europe,Frankfurt,170,6.68
158.101.215.28,443,443,true,FRA,Europe,Frankfurt,206,6.68
158.178.149.111,443,443,true,AMS,Europe,Amsterdam,197,6.67
141.148.228.182,443,443,true,FRA,Europe,Frankfurt,168,6.66
144.24.243.207,443,443,true,MXP,Europe,Milan,148,6.64
138.2.143.59,443,443,true,FRA,Europe,Frankfurt,168,6.64
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,166,6.64
89.168.124.103,443,443,true,FRA,Europe,Frankfurt,176,6.63
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,166,6.61
143.47.179.80,443,443,true,FRA,Europe,Frankfurt,196,6.60
79.72.80.136,443,443,true,FRA,Europe,Frankfurt,180,6.59
158.180.13.163,443,443,true,FRA,Europe,Frankfurt,181,6.57
132.226.208.144,443,443,true,FRA,Europe,Frankfurt,178,6.56
143.47.242.99,443,443,true,FRA,Europe,Frankfurt,180,6.56
144.21.35.90,443,443,true,FRA,Europe,Frankfurt,182,6.54
141.147.106.195,443,443,true,FRA,Europe,Frankfurt,181,6.52
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,160,6.50
89.168.119.4,443,443,true,FRA,Europe,Frankfurt,170,6.49
138.2.154.108,443,443,true,FRA,Europe,Frankfurt,176,6.46
84.8.159.33,443,443,true,FRA,Europe,Frankfurt,182,6.45
158.178.153.80,2096,443,true,AMS,Europe,Amsterdam,179,6.44
138.3.241.215,443,443,true,FRA,Europe,Frankfurt,175,6.43
129.213.165.166,443,443,true,IAD,North America,Ashburn,227,6.40
84.235.167.135,443,443,true,FRA,Europe,Frankfurt,180,6.39
141.147.37.157,443,443,true,FRA,Europe,Frankfurt,161,6.39
143.47.255.43,443,443,true,FRA,Europe,Frankfurt,173,6.39
193.123.81.105,443,443,true,DXB,Middle East,Dubai,81,6.38
150.230.112.154,443,443,true,FRA,Europe,Frankfurt,182,6.36
144.21.36.82,443,443,true,FRA,Europe,Frankfurt,170,6.35
143.47.229.102,443,443,true,FRA,Europe,Frankfurt,180,6.28
141.148.236.154,443,443,true,FRA,Europe,Frankfurt,181,6.28
141.144.192.163,443,443,true,FRA,Europe,Frankfurt,176,6.23
141.144.196.177,443,443,true,FRA,Europe,Frankfurt,176,6.19
141.144.193.5,443,443,true,FRA,Europe,Frankfurt,170,6.09
193.123.60.208,443,443,true,FRA,Europe,Frankfurt,181,6.06
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,247,6.04
130.162.61.172,443,443,true,FRA,Europe,Frankfurt,165,6.01
141.147.68.171,443,443,true,FRA,Europe,Frankfurt,182,6.01
130.162.172.207,443,443,true,FRA,Europe,Frankfurt,178,5.98
141.147.66.67,443,443,true,FRA,Europe,Frankfurt,180,5.86
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,70,5.80
158.178.148.111,443,443,true,FRA,Europe,Frankfurt,175,5.79
150.230.196.248,443,443,true,NRT,Asia Pacific,Tokyo,67,5.78
132.226.6.125,443,443,true,NRT,Asia Pacific,Tokyo,69,5.77
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,74,5.69
217.142.243.226,443,443,true,KIX,Asia Pacific,Osaka,71,5.67
140.83.86.166,443,443,true,KIX,Asia Pacific,Osaka,73,5.62
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,99,5.60
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,196,5.59
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,230,5.56
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,174,5.55
152.70.234.188,443,443,true,ICN,Asia Pacific,Seoul,94,5.55
